n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[10, 12, 15, 25]","[10, 12, 15, 25]","[20, 40, 60]",[1],[0.0],['auto'],[None],[0.0],[True],[False],prediction
10,10,20,1,0.0,auto,,0.0,True,False,0.8455056179775281
12,10,20,1,0.0,auto,,0.0,True,False,0.8370786516853931
25,10,20,1,0.0,auto,,0.0,True,False,0.83005617977528
15,10,20,1,0.0,auto,,0.0,True,False,0.8286516853932581
15,12,20,1,0.0,auto,,0.0,True,False,0.8272471910112361
25,15,20,1,0.0,auto,,0.0,True,False,0.8272471910112361
25,25,20,1,0.0,auto,,0.0,True,False,0.8272471910112361
25,10,40,1,0.0,auto,,0.0,True,False,0.8258426966292131
25,12,40,1,0.0,auto,,0.0,True,False,0.8258426966292131
15,15,20,1,0.0,auto,,0.0,True,False,0.8258426966292131
25,15,40,1,0.0,auto,,0.0,True,False,0.8258426966292131
15,25,20,1,0.0,auto,,0.0,True,False,0.8258426966292131
25,25,40,1,0.0,auto,,0.0,True,False,0.8258426966292131
12,15,20,1,0.0,auto,,0.0,True,False,0.8244382022471911
12,25,20,1,0.0,auto,,0.0,True,False,0.8244382022471911
25,12,20,1,0.0,auto,,0.0,True,False,0.823033707865168
15,10,40,1,0.0,auto,,0.0,True,False,0.8216292134831461
10,12,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
10,15,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
10,25,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
12,12,20,1,0.0,auto,,0.0,True,False,0.820224719101123
15,12,40,1,0.0,auto,,0.0,True,False,0.820224719101123
15,15,40,1,0.0,auto,,0.0,True,False,0.820224719101123
15,25,40,1,0.0,auto,,0.0,True,False,0.820224719101123
10,10,40,1,0.0,auto,,0.0,True,False,0.811797752808988
12,10,40,1,0.0,auto,,0.0,True,False,0.811797752808988
12,15,40,1,0.0,auto,,0.0,True,False,0.8103932584269661
12,25,40,1,0.0,auto,,0.0,True,False,0.8103932584269661
12,12,40,1,0.0,auto,,0.0,True,False,0.808988764044943
25,10,60,1,0.0,auto,,0.0,True,False,0.806179775280898
10,12,40,1,0.0,auto,,0.0,True,False,0.806179775280898
10,15,40,1,0.0,auto,,0.0,True,False,0.806179775280898
10,25,40,1,0.0,auto,,0.0,True,False,0.806179775280898
15,12,60,1,0.0,auto,,0.0,True,False,0.8047752808988761
25,12,60,1,0.0,auto,,0.0,True,False,0.8047752808988761
15,15,60,1,0.0,auto,,0.0,True,False,0.8047752808988761
25,15,60,1,0.0,auto,,0.0,True,False,0.8047752808988761
15,25,60,1,0.0,auto,,0.0,True,False,0.8047752808988761
25,25,60,1,0.0,auto,,0.0,True,False,0.8047752808988761
15,10,60,1,0.0,auto,,0.0,True,False,0.8019662921348311
10,12,60,1,0.0,auto,,0.0,True,False,0.790730337078651
12,12,60,1,0.0,auto,,0.0,True,False,0.790730337078651
10,15,60,1,0.0,auto,,0.0,True,False,0.790730337078651
12,15,60,1,0.0,auto,,0.0,True,False,0.790730337078651
10,25,60,1,0.0,auto,,0.0,True,False,0.790730337078651
12,25,60,1,0.0,auto,,0.0,True,False,0.790730337078651
10,10,60,1,0.0,auto,,0.0,True,False,0.787921348314606
12,10,60,1,0.0,auto,,0.0,True,False,0.7837078651685391
