n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
[10],[10],[20],[1],"[0.0, 0.001, 0.01]","['auto', 0.1, 0.5, 1]","[None, 2, 5, 10]",[0.0],[True],[False],prediction
10,10,20,1,0.0,auto,,0.0,True,False,0.8455056179775281
10,10,20,1,0.001,auto,,0.0,True,False,0.8455056179775281
10,10,20,1,0.01,auto,,0.0,True,False,0.8286516853932581
10,10,20,1,0.0,0.5,,0.0,True,False,0.817415730337078
10,10,20,1,0.001,0.5,,0.0,True,False,0.817415730337078
10,10,20,1,0.01,0.5,,0.0,True,False,0.814606741573033
10,10,20,1,0.0,0.5,5,0.0,True,False,0.814606741573033
10,10,20,1,0.001,0.5,5,0.0,True,False,0.814606741573033
10,10,20,1,0.01,0.5,5,0.0,True,False,0.8132022471910111
10,10,20,1,0.0,0.1,,0.0,True,False,0.811797752808988
10,10,20,1,0.001,0.1,,0.0,True,False,0.811797752808988
10,10,20,1,0.0,1,,0.0,True,False,0.811797752808988
10,10,20,1,0.001,1,,0.0,True,False,0.811797752808988
10,10,20,1,0.0,0.5,10,0.0,True,False,0.808988764044943
10,10,20,1,0.001,0.5,10,0.0,True,False,0.808988764044943
10,10,20,1,0.01,0.5,10,0.0,True,False,0.8075842696629211
10,10,20,1,0.0,auto,10,0.0,True,False,0.803370786516853
10,10,20,1,0.001,auto,10,0.0,True,False,0.803370786516853
10,10,20,1,0.01,auto,10,0.0,True,False,0.803370786516853
10,10,20,1,0.0,auto,5,0.0,True,False,0.7977528089887641
10,10,20,1,0.001,auto,5,0.0,True,False,0.7977528089887641
10,10,20,1,0.01,auto,5,0.0,True,False,0.7977528089887641
10,10,20,1,0.01,0.1,,0.0,True,False,0.7865168539325841
10,10,20,1,0.01,1,,0.0,True,False,0.7865168539325841
10,10,20,1,0.0,0.5,2,0.0,True,False,0.7837078651685391
10,10,20,1,0.001,0.5,2,0.0,True,False,0.7837078651685391
10,10,20,1,0.01,0.5,2,0.0,True,False,0.7837078651685391
10,10,20,1,0.01,0.1,10,0.0,True,False,0.7710674157303371
10,10,20,1,0.01,1,10,0.0,True,False,0.7710674157303371
10,10,20,1,0.0,0.1,10,0.0,True,False,0.769662921348314
10,10,20,1,0.001,0.1,10,0.0,True,False,0.769662921348314
10,10,20,1,0.0,1,10,0.0,True,False,0.769662921348314
10,10,20,1,0.001,1,10,0.0,True,False,0.769662921348314
10,10,20,1,0.0,auto,2,0.0,True,False,0.742977528089887
10,10,20,1,0.001,auto,2,0.0,True,False,0.742977528089887
10,10,20,1,0.01,auto,2,0.0,True,False,0.742977528089887
10,10,20,1,0.0,0.1,5,0.0,True,False,0.7387640449438201
10,10,20,1,0.001,0.1,5,0.0,True,False,0.7387640449438201
10,10,20,1,0.01,0.1,5,0.0,True,False,0.7387640449438201
10,10,20,1,0.0,1,5,0.0,True,False,0.7387640449438201
10,10,20,1,0.001,1,5,0.0,True,False,0.7387640449438201
10,10,20,1,0.01,1,5,0.0,True,False,0.7387640449438201
10,10,20,1,0.0,0.1,2,0.0,True,False,0.7120786516853931
10,10,20,1,0.001,0.1,2,0.0,True,False,0.7120786516853931
10,10,20,1,0.01,0.1,2,0.0,True,False,0.7120786516853931
10,10,20,1,0.0,1,2,0.0,True,False,0.7120786516853931
10,10,20,1,0.001,1,2,0.0,True,False,0.7120786516853931
10,10,20,1,0.01,1,2,0.0,True,False,0.7120786516853931
