alpha,fit_intercept,normalize,copy_X,solver,accuracy
"[0.01, 0.001]","[True, False]","[False, True]","[True, False]","['cholesky', 'svd', 'lsqr']",prediction
0.001,True,True,True,cholesky,0.8047752808988761
0.001,True,True,True,svd,0.8047752808988761
0.001,True,True,False,cholesky,0.8047752808988761
0.001,True,True,False,svd,0.8047752808988761
0.01,True,False,True,cholesky,0.803370786516853
0.01,True,False,True,svd,0.803370786516853
0.01,True,True,True,cholesky,0.803370786516853
0.01,True,True,True,svd,0.803370786516853
0.01,True,True,True,lsqr,0.803370786516853
0.01,True,False,False,cholesky,0.803370786516853
0.01,True,False,False,svd,0.803370786516853
0.01,True,True,False,cholesky,0.803370786516853
0.01,True,True,False,svd,0.803370786516853
0.01,True,True,False,lsqr,0.803370786516853
0.001,True,False,True,cholesky,0.803370786516853
0.001,True,False,True,svd,0.803370786516853
0.001,True,False,False,cholesky,0.803370786516853
0.001,True,False,False,svd,0.803370786516853
0.01,False,False,True,cholesky,0.8005617977528091
0.01,False,False,True,svd,0.8005617977528091
0.01,False,True,True,cholesky,0.8005617977528091
0.01,False,True,True,svd,0.8005617977528091
0.01,False,False,False,cholesky,0.8005617977528091
0.01,False,False,False,svd,0.8005617977528091
0.01,False,True,False,cholesky,0.8005617977528091
0.01,False,True,False,svd,0.8005617977528091
0.001,True,True,True,lsqr,0.8005617977528091
0.001,False,False,True,cholesky,0.8005617977528091
0.001,False,False,True,svd,0.8005617977528091
0.001,False,True,True,cholesky,0.8005617977528091
0.001,False,True,True,svd,0.8005617977528091
0.001,True,True,False,lsqr,0.8005617977528091
0.001,False,False,False,cholesky,0.8005617977528091
0.001,False,False,False,svd,0.8005617977528091
0.001,False,True,False,cholesky,0.8005617977528091
0.001,False,True,False,svd,0.8005617977528091
0.01,True,False,True,lsqr,0.7921348314606741
0.01,True,False,False,lsqr,0.7921348314606741
0.001,True,False,True,lsqr,0.7921348314606741
0.001,True,False,False,lsqr,0.7921348314606741
0.01,False,False,True,lsqr,0.766853932584269
0.01,False,True,True,lsqr,0.766853932584269
0.01,False,False,False,lsqr,0.766853932584269
0.01,False,True,False,lsqr,0.766853932584269
0.001,False,False,True,lsqr,0.766853932584269
0.001,False,True,True,lsqr,0.766853932584269
0.001,False,False,False,lsqr,0.766853932584269
0.001,False,True,False,lsqr,0.766853932584269
