alpha,fit_intercept,normalize,copy_X,solver,accuracy
"[22, 25, 27]","[True, False]","[False, True]","[True, False]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
25,False,False,True,sparse_cg,0.811797752808988
25,False,True,True,sparse_cg,0.811797752808988
25,False,False,False,sparse_cg,0.811797752808988
25,False,True,False,sparse_cg,0.811797752808988
25,True,False,True,sparse_cg,0.8103932584269661
25,True,False,False,sparse_cg,0.8103932584269661
27,True,False,True,sparse_cg,0.8103932584269661
27,True,False,False,sparse_cg,0.8103932584269661
27,True,False,True,cholesky,0.808988764044943
27,True,False,True,svd,0.808988764044943
27,False,False,True,cholesky,0.808988764044943
27,False,False,True,svd,0.808988764044943
27,False,True,True,cholesky,0.808988764044943
27,False,True,True,svd,0.808988764044943
27,True,False,False,cholesky,0.808988764044943
27,True,False,False,svd,0.808988764044943
27,False,False,False,cholesky,0.808988764044943
27,False,False,False,svd,0.808988764044943
27,False,True,False,cholesky,0.808988764044943
27,False,True,False,svd,0.808988764044943
22,True,False,True,sparse_cg,0.8075842696629211
22,True,False,False,sparse_cg,0.8075842696629211
25,True,False,True,cholesky,0.8075842696629211
25,True,False,True,svd,0.8075842696629211
25,False,False,True,cholesky,0.8075842696629211
25,False,False,True,svd,0.8075842696629211
25,False,True,True,cholesky,0.8075842696629211
25,False,True,True,svd,0.8075842696629211
25,True,False,False,cholesky,0.8075842696629211
25,True,False,False,svd,0.8075842696629211
25,False,False,False,cholesky,0.8075842696629211
25,False,False,False,svd,0.8075842696629211
25,False,True,False,cholesky,0.8075842696629211
25,False,True,False,svd,0.8075842696629211
22,True,False,True,cholesky,0.8047752808988761
22,True,False,True,svd,0.8047752808988761
22,False,False,True,cholesky,0.8047752808988761
22,False,False,True,svd,0.8047752808988761
22,False,False,True,sparse_cg,0.8047752808988761
22,False,True,True,cholesky,0.8047752808988761
22,False,True,True,svd,0.8047752808988761
22,False,True,True,sparse_cg,0.8047752808988761
22,True,False,False,cholesky,0.8047752808988761
22,True,False,False,svd,0.8047752808988761
22,False,False,False,cholesky,0.8047752808988761
22,False,False,False,svd,0.8047752808988761
22,False,False,False,sparse_cg,0.8047752808988761
22,False,True,False,cholesky,0.8047752808988761
22,False,True,False,svd,0.8047752808988761
22,False,True,False,sparse_cg,0.8047752808988761
27,False,False,True,sparse_cg,0.8047752808988761
27,False,True,True,sparse_cg,0.8047752808988761
27,False,False,False,sparse_cg,0.8047752808988761
27,False,True,False,sparse_cg,0.8047752808988761
22,True,False,True,lsqr,0.790730337078651
22,True,False,False,lsqr,0.790730337078651
25,True,False,True,lsqr,0.790730337078651
25,True,False,False,lsqr,0.790730337078651
27,True,False,True,lsqr,0.790730337078651
27,True,False,False,lsqr,0.790730337078651
22,False,False,True,lsqr,0.748595505617977
22,False,True,True,lsqr,0.748595505617977
22,False,False,False,lsqr,0.748595505617977
22,False,True,False,lsqr,0.748595505617977
25,False,False,True,lsqr,0.7471910112359551
25,False,True,True,lsqr,0.7471910112359551
25,False,False,False,lsqr,0.7471910112359551
25,False,True,False,lsqr,0.7471910112359551
27,False,False,True,lsqr,0.7471910112359551
27,False,True,True,lsqr,0.7471910112359551
27,False,False,False,lsqr,0.7471910112359551
27,False,True,False,lsqr,0.7471910112359551
22,True,True,True,cholesky,0.625
22,True,True,True,svd,0.625
22,True,True,True,lsqr,0.625
22,True,True,True,sparse_cg,0.625
22,True,True,False,cholesky,0.625
22,True,True,False,svd,0.625
22,True,True,False,lsqr,0.625
22,True,True,False,sparse_cg,0.625
25,True,True,True,cholesky,0.625
25,True,True,True,svd,0.625
25,True,True,True,lsqr,0.625
25,True,True,True,sparse_cg,0.625
25,True,True,False,cholesky,0.625
25,True,True,False,svd,0.625
25,True,True,False,lsqr,0.625
25,True,True,False,sparse_cg,0.625
27,True,True,True,cholesky,0.625
27,True,True,True,svd,0.625
27,True,True,True,lsqr,0.625
27,True,True,True,sparse_cg,0.625
27,True,True,False,cholesky,0.625
27,True,True,False,svd,0.625
27,True,True,False,lsqr,0.625
27,True,True,False,sparse_cg,0.625
