alpha,fit_intercept,normalize,copy_X,solver,accuracy
"[1e-05, 0.0001]","[True, False]","[False, True]","[True, False]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
1e-05,True,False,True,sparse_cg,0.806179775280898
1e-05,True,False,False,sparse_cg,0.806179775280898
0.0001,True,False,True,sparse_cg,0.806179775280898
0.0001,True,False,False,sparse_cg,0.806179775280898
1e-05,False,False,True,sparse_cg,0.8047752808988761
1e-05,False,True,True,sparse_cg,0.8047752808988761
1e-05,False,False,False,sparse_cg,0.8047752808988761
1e-05,False,True,False,sparse_cg,0.8047752808988761
0.0001,True,True,True,cholesky,0.8047752808988761
0.0001,True,True,True,svd,0.8047752808988761
0.0001,False,False,True,sparse_cg,0.8047752808988761
0.0001,False,True,True,sparse_cg,0.8047752808988761
0.0001,True,True,False,cholesky,0.8047752808988761
0.0001,True,True,False,svd,0.8047752808988761
0.0001,False,False,False,sparse_cg,0.8047752808988761
0.0001,False,True,False,sparse_cg,0.8047752808988761
1e-05,True,False,True,cholesky,0.803370786516853
1e-05,True,False,True,svd,0.803370786516853
1e-05,True,True,True,cholesky,0.803370786516853
1e-05,True,True,True,svd,0.803370786516853
1e-05,True,True,True,sparse_cg,0.803370786516853
1e-05,True,False,False,cholesky,0.803370786516853
1e-05,True,False,False,svd,0.803370786516853
1e-05,True,True,False,cholesky,0.803370786516853
1e-05,True,True,False,svd,0.803370786516853
1e-05,True,True,False,sparse_cg,0.803370786516853
0.0001,True,False,True,cholesky,0.803370786516853
0.0001,True,False,True,svd,0.803370786516853
0.0001,True,True,True,sparse_cg,0.803370786516853
0.0001,True,False,False,cholesky,0.803370786516853
0.0001,True,False,False,svd,0.803370786516853
0.0001,True,True,False,sparse_cg,0.803370786516853
1e-05,True,True,True,lsqr,0.8005617977528091
1e-05,False,False,True,cholesky,0.8005617977528091
1e-05,False,False,True,svd,0.8005617977528091
1e-05,False,True,True,cholesky,0.8005617977528091
1e-05,False,True,True,svd,0.8005617977528091
1e-05,True,True,False,lsqr,0.8005617977528091
1e-05,False,False,False,cholesky,0.8005617977528091
1e-05,False,False,False,svd,0.8005617977528091
1e-05,False,True,False,cholesky,0.8005617977528091
1e-05,False,True,False,svd,0.8005617977528091
0.0001,True,True,True,lsqr,0.8005617977528091
0.0001,False,False,True,cholesky,0.8005617977528091
0.0001,False,False,True,svd,0.8005617977528091
0.0001,False,True,True,cholesky,0.8005617977528091
0.0001,False,True,True,svd,0.8005617977528091
0.0001,True,True,False,lsqr,0.8005617977528091
0.0001,False,False,False,cholesky,0.8005617977528091
0.0001,False,False,False,svd,0.8005617977528091
0.0001,False,True,False,cholesky,0.8005617977528091
0.0001,False,True,False,svd,0.8005617977528091
1e-05,True,False,True,lsqr,0.7921348314606741
1e-05,True,False,False,lsqr,0.7921348314606741
0.0001,True,False,True,lsqr,0.7921348314606741
0.0001,True,False,False,lsqr,0.7921348314606741
1e-05,False,False,True,lsqr,0.766853932584269
1e-05,False,True,True,lsqr,0.766853932584269
1e-05,False,False,False,lsqr,0.766853932584269
1e-05,False,True,False,lsqr,0.766853932584269
0.0001,False,False,True,lsqr,0.766853932584269
0.0001,False,True,True,lsqr,0.766853932584269
0.0001,False,False,False,lsqr,0.766853932584269
0.0001,False,True,False,lsqr,0.766853932584269
