alpha,fit_intercept,normalize,copy_X,solver,accuracy
"[1e-05, 0.0001, 0.001, 0.01, 0.1, 1, 10, 20, 30, 50, 100]","[True, False]","[False, True]","[True, False]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
30,False,False,True,cholesky,0.8103932584269661
30,False,False,True,svd,0.8103932584269661
30,False,True,True,cholesky,0.8103932584269661
30,False,True,True,svd,0.8103932584269661
30,False,False,False,cholesky,0.8103932584269661
30,False,False,False,svd,0.8103932584269661
30,False,True,False,cholesky,0.8103932584269661
30,False,True,False,svd,0.8103932584269661
30,True,False,True,cholesky,0.808988764044943
30,True,False,True,svd,0.808988764044943
30,True,False,True,sparse_cg,0.808988764044943
30,True,False,False,cholesky,0.808988764044943
30,True,False,False,svd,0.808988764044943
30,True,False,False,sparse_cg,0.808988764044943
10,False,False,True,sparse_cg,0.8075842696629211
10,False,True,True,sparse_cg,0.8075842696629211
10,False,False,False,sparse_cg,0.8075842696629211
10,False,True,False,sparse_cg,0.8075842696629211
1e-05,True,False,True,sparse_cg,0.806179775280898
1e-05,True,False,False,sparse_cg,0.806179775280898
0.0001,True,False,True,sparse_cg,0.806179775280898
0.0001,True,False,False,sparse_cg,0.806179775280898
0.001,True,False,True,sparse_cg,0.806179775280898
0.001,True,False,False,sparse_cg,0.806179775280898
0.01,True,False,True,sparse_cg,0.806179775280898
0.01,True,False,False,sparse_cg,0.806179775280898
0.1,True,False,True,sparse_cg,0.806179775280898
0.1,True,False,False,sparse_cg,0.806179775280898
20,True,False,True,cholesky,0.806179775280898
20,True,False,True,svd,0.806179775280898
20,True,False,True,sparse_cg,0.806179775280898
20,True,False,False,cholesky,0.806179775280898
20,True,False,False,svd,0.806179775280898
20,True,False,False,sparse_cg,0.806179775280898
30,False,False,True,sparse_cg,0.806179775280898
30,False,True,True,sparse_cg,0.806179775280898
30,False,False,False,sparse_cg,0.806179775280898
30,False,True,False,sparse_cg,0.806179775280898
1e-05,False,False,True,sparse_cg,0.8047752808988761
1e-05,False,True,True,sparse_cg,0.8047752808988761
1e-05,False,False,False,sparse_cg,0.8047752808988761
1e-05,False,True,False,sparse_cg,0.8047752808988761
0.0001,True,True,True,cholesky,0.8047752808988761
0.0001,True,True,True,svd,0.8047752808988761
0.0001,False,False,True,sparse_cg,0.8047752808988761
0.0001,False,True,True,sparse_cg,0.8047752808988761
0.0001,True,True,False,cholesky,0.8047752808988761
0.0001,True,True,False,svd,0.8047752808988761
0.0001,False,False,False,sparse_cg,0.8047752808988761
0.0001,False,True,False,sparse_cg,0.8047752808988761
0.001,True,True,True,cholesky,0.8047752808988761
0.001,True,True,True,svd,0.8047752808988761
0.001,False,False,True,sparse_cg,0.8047752808988761
0.001,False,True,True,sparse_cg,0.8047752808988761
0.001,True,True,False,cholesky,0.8047752808988761
0.001,True,True,False,svd,0.8047752808988761
0.001,False,False,False,sparse_cg,0.8047752808988761
0.001,False,True,False,sparse_cg,0.8047752808988761
0.01,False,False,True,sparse_cg,0.8047752808988761
0.01,False,True,True,sparse_cg,0.8047752808988761
0.01,False,False,False,sparse_cg,0.8047752808988761
0.01,False,True,False,sparse_cg,0.8047752808988761
0.1,True,False,True,cholesky,0.8047752808988761
0.1,True,False,True,svd,0.8047752808988761
0.1,False,False,True,sparse_cg,0.8047752808988761
0.1,False,True,True,sparse_cg,0.8047752808988761
0.1,True,False,False,cholesky,0.8047752808988761
0.1,True,False,False,svd,0.8047752808988761
0.1,False,False,False,sparse_cg,0.8047752808988761
0.1,False,True,False,sparse_cg,0.8047752808988761
1,True,False,True,sparse_cg,0.8047752808988761
1,False,False,True,sparse_cg,0.8047752808988761
1,False,True,True,sparse_cg,0.8047752808988761
1,True,False,False,sparse_cg,0.8047752808988761
1,False,False,False,sparse_cg,0.8047752808988761
