C,kernel,degree,gamma,coef0,shrinking,probability,tol,max_iter,decision_function_shape,accuracy
"[1.0, 0.1, 0.01, 0.001, 10]","['rbf', 'linear', 'poly', 'sigmoid']","[3, 2, 1]","['auto', 'scale']",[0.0],[True],[False],[0.001],[-1],['ovr'],prediction
10,poly,2,auto,0.0,True,False,0.001,-1,ovr,0.814606741573033
1.0,rbf,3,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
1.0,rbf,2,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
1.0,rbf,1,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,3,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,3,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,2,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,2,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,poly,2,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,1,auto,0.0,True,False,0.001,-1,ovr,0.8132022471910111
10,rbf,1,scale,0.0,True,False,0.001,-1,ovr,0.8132022471910111
1.0,rbf,3,scale,0.0,True,False,0.001,-1,ovr,0.8103932584269661
1.0,rbf,2,scale,0.0,True,False,0.001,-1,ovr,0.8103932584269661
1.0,rbf,1,scale,0.0,True,False,0.001,-1,ovr,0.8103932584269661
0.1,linear,3,auto,0.0,True,False,0.001,-1,ovr,0.8047752808988761
0.1,linear,3,scale,0.0,True,False,0.001,-1,ovr,0.8047752808988761
0.1,linear,2,auto,0.0,True,False,0.001,-1,ovr,0.8047752808988761
0.1,linear,2,scale,0.0,True,False,0.001,-1,ovr,0.8047752808988761
0.1,linear,1,auto,0.0,True,False,0.001,-1,ovr,0.8047752808988761
0.1,linear,1,scale,0.0,True,False,0.001,-1,ovr,0.8047752808988761
1.0,poly,1,auto,0.0,True,False,0.001,-1,ovr,0.8005617977528091
1.0,poly,1,scale,0.0,True,False,0.001,-1,ovr,0.8005617977528091
