C,kernel,degree,gamma,coef0,shrinking,probability,tol,max_iter,decision_function_shape,accuracy
"[1.0, 5.0, 0.1, 0.01, 0.001, 10]","['rbf', 'linear', 'poly', 'sigmoid']","[3, 2, 1]","['auto', 'scale']","[0.0, 1.0, 0.1]",[True],[False],[0.001],[-1],"['ovr', 'ovo']",prediction
1.0,poly,2,scale,0.1,True,False,0.001,-1,ovr,0.823033707865168
1.0,poly,2,scale,0.1,True,False,0.001,-1,ovo,0.823033707865168
1.0,poly,2,auto,0.1,True,False,0.001,-1,ovr,0.8216292134831461
1.0,poly,2,auto,0.1,True,False,0.001,-1,ovo,0.8216292134831461
1.0,poly,2,scale,1.0,True,False,0.001,-1,ovr,0.8188202247191011
1.0,poly,2,scale,1.0,True,False,0.001,-1,ovo,0.8188202247191011
5.0,poly,2,auto,1.0,True,False,0.001,-1,ovr,0.8188202247191011
5.0,poly,2,scale,1.0,True,False,0.001,-1,ovr,0.8188202247191011
5.0,poly,2,auto,1.0,True,False,0.001,-1,ovo,0.8188202247191011
5.0,poly,2,scale,1.0,True,False,0.001,-1,ovo,0.8188202247191011
0.1,poly,3,auto,1.0,True,False,0.001,-1,ovr,0.8188202247191011
0.1,poly,3,auto,1.0,True,False,0.001,-1,ovo,0.8188202247191011
0.1,poly,3,scale,1.0,True,False,0.001,-1,ovr,0.817415730337078
0.1,poly,3,scale,1.0,True,False,0.001,-1,ovo,0.817415730337078
1.0,poly,2,auto,1.0,True,False,0.001,-1,ovr,0.8160112359550561
1.0,poly,2,auto,1.0,True,False,0.001,-1,ovo,0.8160112359550561
10,poly,2,scale,1.0,True,False,0.001,-1,ovr,0.8160112359550561
10,poly,2,scale,1.0,True,False,0.001,-1,ovo,0.8160112359550561
10,poly,2,auto,0.0,True,False,0.001,-1,ovr,0.814606741573033
10,poly,2,auto,0.0,True,False,0.001,-1,ovo,0.814606741573033
10,poly,2,auto,1.0,True,False,0.001,-1,ovr,0.814606741573033
