n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]","[10, 11, 12, 13, 14, 15, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[1, 2, 3, 4, 0.001, 0.01, 0.02, 0.03, 0.04, 0.1]","[0.0, 0.01, 0.0001]","['auto', 'sqrt', 'log2', None]","[None, 2, 5, 10]","[0.0, 0.001, 0.01, 0.1]","[True, False]",[False],prediction
13,16,15,0.01,0.0,auto,,0.0,False,False,0.8426966292134831
15,12,13,0.001,0.0001,log2,,0.001,False,False,0.838483146067415
13,13,13,0.001,0.0,auto,,0.0,False,False,0.838483146067415
14,12,30,3,0.0,auto,,0.001,False,False,0.8370786516853931
12,16,14,2,0.0001,sqrt,,0.001,False,False,0.8370786516853931
13,16,24,1,0.0,log2,,0.001,False,False,0.8370786516853931
15,11,20,2,0.01,log2,,0.0,False,False,0.83567415730337
15,10,22,4,0.0001,auto,,0.001,False,False,0.83567415730337
12,12,21,2,0.01,log2,,0.0,False,False,0.8342696629213481
13,10,29,1,0.01,sqrt,,0.001,False,False,0.832865168539325
14,14,20,4,0.01,auto,,0.001,False,False,0.832865168539325
16,13,20,0.02,0.01,log2,,0.0,False,False,0.832865168539325
3,12,20,1,0.01,log2,,0.001,False,False,0.832865168539325
14,11,24,0.001,0.0,sqrt,,0.001,False,False,0.8314606741573031
16,11,21,0.001,0.0001,auto,,0.0,False,False,0.8314606741573031
13,12,28,0.01,0.0001,auto,,0.001,False,False,0.8314606741573031
13,12,13,0.02,0.01,auto,,0.0,False,False,0.83005617977528
11,13,28,0.01,0.0001,auto,,0.001,False,False,0.83005617977528
3,10,12,3,0.01,sqrt,,0.001,False,False,0.8286516853932581
15,12,24,0.01,0.0,log2,,0.001,False,False,0.8286516853932581
14,14,30,1,0.0,log2,,0.0,False,False,0.8272471910112361
3,14,21,2,0.01,auto,,0.0,False,False,0.8272471910112361
11,12,27,1,0.01,auto,,0.001,False,False,0.8272471910112361
11,16,27,3,0.01,auto,,0.001,False,False,0.8272471910112361
5,15,15,4,0.01,log2,,0.0,False,False,0.8272471910112361
12,15,15,0.001,0.0,log2,,0.001,True,False,0.8258426966292131
3,11,29,0.01,0.0001,sqrt,,0.0,False,False,0.8258426966292131
14,10,26,0.01,0.0001,sqrt,,0.0,True,False,0.8258426966292131
14,16,10,2,0.01,sqrt,,0.001,True,False,0.8258426966292131
14,11,15,3,0.01,log2,,0.001,False,False,0.8244382022471911
13,12,30,0.001,0.0,sqrt,,0.0,False,False,0.8244382022471911
4,13,27,4,0.01,log2,,0.001,False,False,0.8244382022471911
4,15,27,0.01,0.0,auto,,0.001,False,False,0.8244382022471911
13,10,25,3,0.0001,sqrt,,0.0,False,False,0.8244382022471911
12,15,28,2,0.0,auto,,0.0,False,False,0.8244382022471911
14,14,15,0.001,0.01,auto,,0.0,True,False,0.823033707865168
11,14,20,4,0.0001,sqrt,,0.001,True,False,0.823033707865168
16,16,11,4,0.01,sqrt,,0.0,False,False,0.823033707865168
4,12,20,0.01,0.0001,,,0.001,True,False,0.823033707865168
4,13,11,2,0.01,log2,10,0.0,False,False,0.823033707865168
4,13,22,2,0.0001,auto,,0.001,False,False,0.823033707865168
3,12,12,2,0.0001,,10,0.001,True,False,0.823033707865168
12,12,22,0.02,0.01,auto,,0.0,False,False,0.823033707865168
1,11,30,1,0.0,log2,,0.001,False,False,0.8216292134831461
2,11,23,3,0.0,sqrt,,0.001,False,False,0.8216292134831461
1,11,27,0.01,0.01,auto,,0.001,False,False,0.8216292134831461
1,16,26,0.001,0.0001,auto,,0.001,False,False,0.8216292134831461
11,13,15,3,0.01,auto,10,0.001,True,False,0.8216292134831461
15,16,15,0.001,0.0,,,0.001,True,False,0.8216292134831461
10,16,11,4,0.01,sqrt,10,0.0,True,False,0.8216292134831461
5,12,11,1,0.0001,sqrt,,0.0,True,False,0.8216292134831461
11,12,15,3,0.0,log2,10,0.0,True,False,0.8216292134831461
13,12,10,0.01,0.0,sqrt,,0.0,True,False,0.820224719101123
15,14,13,4,0.0,log2,10,0.001,False,False,0.820224719101123
14,4,14,2,0.0001,sqrt,,0.0,False,False,0.820224719101123
1,11,23,2,0.0,auto,,0.001,False,False,0.820224719101123
3,12,30,0.02,0.0,auto,5,0.0,False,False,0.820224719101123
10,13,14,0.01,0.01,auto,,0.0,True,False,0.820224719101123
14,5,28,0.02,0.01,auto,,0.001,False,False,0.820224719101123
13,10,22,0.01,0.01,auto,,0.0,False,False,0.820224719101123
15,15,12,0.01,0.0,auto,10,0.0,False,False,0.8188202247191011
14,16,13,0.001,0.0001,sqrt,10,0.0,False,False,0.8188202247191011
5,4,26,1,0.0,,10,0.0,True,False,0.8188202247191011
11,13,21,0.001,0.0,log2,,0.001,True,False,0.8188202247191011
4,13,29,0.03,0.0001,sqrt,,0.001,True,False,0.8188202247191011
15,14,11,2,0.01,auto,,0.0,True,False,0.8188202247191011
15,12,12,0.01,0.01,auto,10,0.001,False,False,0.8188202247191011
14,10,15,1,0.01,log2,,0.001,True,False,0.8188202247191011
13,11,30,0.02,0.0,log2,,0.001,False,False,0.817415730337078
5,5,29,1,0.0,sqrt,,0.0,False,False,0.817415730337078
11,13,23,0.02,0.0001,log2,10,0.0,False,False,0.817415730337078
11,13,12,0.001,0.0001,,10,0.0,True,False,0.817415730337078
10,11,15,1,0.01,sqrt,10,0.001,True,False,0.817415730337078
14,5,24,2,0.0001,auto,,0.001,True,False,0.817415730337078
13,14,10,0.001,0.0,,5,0.001,True,False,0.817415730337078
13,10,12,0.001,0.01,auto,10,0.001,False,False,0.817415730337078
15,5,14,1,0.0,sqrt,10,0.0,False,False,0.817415730337078
12,14,30,0.001,0.0,sqrt,,0.001,True,False,0.817415730337078
10,13,20,2,0.0,log2,,0.001,True,False,0.817415730337078
2,13,28,3,0.0001,auto,,0.001,False,False,0.817415730337078
11,14,11,0.001,0.0,sqrt,10,0.001,True,False,0.817415730337078
3,11,23,2,0.0,sqrt,5,0.001,False,False,0.817415730337078
15,11,20,1,0.01,sqrt,10,0.0,False,False,0.817415730337078
3,4,13,0.001,0.0,log2,10,0.0,False,False,0.817415730337078
4,14,29,2,0.0,sqrt,,0.001,False,False,0.8160112359550561
15,15,21,0.01,0.01,sqrt,10,0.001,False,False,0.8160112359550561
12,14,29,2,0.0,,5,0.001,True,False,0.8160112359550561
10,4,10,1,0.0,,10,0.001,True,False,0.8160112359550561
11,14,15,0.01,0.0,sqrt,10,0.0,True,False,0.8160112359550561
5,13,24,1,0.0001,,10,0.0,True,False,0.8160112359550561
14,16,10,0.001,0.0001,,5,0.01,True,False,0.8160112359550561
15,14,21,1,0.01,auto,10,0.0,False,False,0.8160112359550561
2,13,20,2,0.0001,auto,,0.001,False,False,0.8160112359550561
10,14,21,2,0.01,,10,0.001,True,False,0.8160112359550561
13,12,20,0.01,0.0001,,5,0.001,True,False,0.8160112359550561
5,16,28,3,0.01,log2,,0.001,False,False,0.8160112359550561
16,16,23,0.02,0.0001,log2,10,0.001,False,False,0.8160112359550561
10,4,27,4,0.0001,auto,,0.001,True,False,0.8160112359550561
13,5,22,2,0.0001,,,0.001,True,False,0.8160112359550561
3,15,13,0.02,0.0,auto,5,0.0,False,False,0.8160112359550561
14,13,10,1,0.0,,5,0.0,True,False,0.8160112359550561
11,13,13,3,0.0001,log2,10,0.0,False,False,0.8160112359550561
3,14,28,3,0.0,auto,5,0.0,False,False,0.8160112359550561
4,15,29,2,0.0001,sqrt,,0.001,False,False,0.8160112359550561
15,16,23,0.02,0.01,sqrt,10,0.0,False,False,0.8160112359550561
4,15,22,2,0.0001,,,0.01,True,False,0.8160112359550561
14,12,27,1,0.01,auto,,0.0,True,False,0.814606741573033
15,15,26,2,0.0,,,0.001,True,False,0.814606741573033
14,10,13,1,0.01,,,0.0,True,False,0.814606741573033
16,3,11,3,0.0001,sqrt,10,0.0,False,False,0.814606741573033
4,11,26,2,0.0001,,10,0.01,True,False,0.814606741573033
16,10,29,0.01,0.01,,10,0.0,True,False,0.814606741573033
12,10,15,0.01,0.0,,10,0.0,True,False,0.814606741573033
13,12,28,0.01,0.0,,,0.001,True,False,0.814606741573033
16,12,11,0.001,0.01,,,0.001,True,False,0.814606741573033
1,10,30,0.02,0.01,auto,5,0.001,False,False,0.814606741573033
4,14,20,1,0.01,,10,0.01,True,False,0.814606741573033
1,16,14,2,0.0001,sqrt,5,0.0,False,False,0.814606741573033
13,14,28,0.01,0.0001,,,0.001,True,False,0.814606741573033
12,15,14,2,0.0001,,,0.0,True,False,0.814606741573033
4,12,13,0.001,0.0,log2,10,0.0,True,False,0.814606741573033
11,5,11,0.02,0.0001,sqrt,10,0.001,True,False,0.814606741573033
11,16,10,0.02,0.01,log2,10,0.001,False,False,0.814606741573033
10,12,20,3,0.0,,10,0.0,True,False,0.814606741573033
2,16,11,0.02,0.01,log2,,0.0,False,False,0.814606741573033
10,10,25,0.02,0.0001,auto,,0.001,False,False,0.8132022471910111
3,14,27,4,0.0,sqrt,,0.001,False,False,0.8132022471910111
14,13,13,4,0.0,,5,0.01,True,False,0.8132022471910111
3,15,12,0.01,0.0001,,,0.0,True,False,0.8132022471910111
13,13,26,1,0.01,sqrt,10,0.0,False,False,0.8132022471910111
2,13,27,1,0.01,log2,,0.001,False,False,0.8132022471910111
13,12,25,3,0.0,auto,,0.0,False,False,0.8132022471910111
14,5,22,0.001,0.0001,,10,0.001,True,False,0.8132022471910111
16,3,14,3,0.0001,auto,10,0.0,False,False,0.8132022471910111
16,11,24,0.01,0.0,auto,,0.001,True,False,0.8132022471910111
12,16,30,0.03,0.01,,5,0.001,True,False,0.8132022471910111
15,5,22,0.01,0.01,log2,,0.0,True,False,0.8132022471910111
12,12,14,1,0.0001,sqrt,10,0.001,False,False,0.8132022471910111
2,5,30,0.02,0.01,auto,5,0.0,False,False,0.8132022471910111
5,12,23,4,0.01,,10,0.0,True,False,0.8132022471910111
12,13,12,2,0.01,,10,0.0,True,False,0.8132022471910111
