penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
['l2'],[False],[0.01],[1.0],[True],[10.0],[None],['newton-cg'],[100],['ovr'],[0],[True],[0.1],prediction
l2,False,0.01,1.0,True,10.0,,newton-cg,100,ovr,0,True,0.1,0.8005617977528091
