penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
['l2'],[False],[0.01],[1.0],[True],[10.0],[None],['lbfgs'],[100],['multinomial'],[0],[True],[0.1],prediction
l2,False,0.01,1.0,True,10.0,,lbfgs,100,multinomial,0,True,0.1,0.7921348314606741
