penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
['l2'],[False],[0.0001],[1.0],[True],[1.0],[None],"['newton-cg', 'lbfgs', 'sag', 'saga']",[100],['multinomial'],[0],[False],[None],prediction
l2,False,0.0001,1.0,True,1.0,,newton-cg,100,multinomial,0,False,,0.8005617977528091
l2,False,0.0001,1.0,True,1.0,,lbfgs,100,multinomial,0,False,,0.7921348314606741
l2,False,0.0001,1.0,True,1.0,,sag,100,multinomial,0,False,,0.724719101123595
l2,False,0.0001,1.0,True,1.0,,saga,100,multinomial,0,False,,0.70505617977528
