penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
"['l1', 'elasticnet']",[False],"[0.0001, 0.001, 1e-05]","[1.0, 0.1, 10.0]",[True],"[1.0, 0.1, 10]",[None],['saga'],[10000],['ovr'],[0],[False],[0.1],prediction
elasticnet,False,1e-05,10.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,10.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,10.0,True,10,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-05,10.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,10.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,10.0,True,10,,saga,10000,ovr,0,False,0.1,0.7921348314606741
elasticnet,False,1e-05,1.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.790730337078651
elasticnet,False,1e-05,1.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.790730337078651
elasticnet,False,1e-05,1.0,True,10,,saga,10000,ovr,0,False,0.1,0.790730337078651
l1,False,1e-05,1.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.787921348314606
l1,False,1e-05,1.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.787921348314606
l1,False,1e-05,1.0,True,10,,saga,10000,ovr,0,False,0.1,0.787921348314606
elasticnet,False,1e-05,0.1,True,1.0,,saga,10000,ovr,0,False,0.1,0.7865168539325841
elasticnet,False,1e-05,0.1,True,0.1,,saga,10000,ovr,0,False,0.1,0.7865168539325841
elasticnet,False,1e-05,0.1,True,10,,saga,10000,ovr,0,False,0.1,0.7865168539325841
l1,False,0.0001,1.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,1.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.782303370786516
l1,False,0.0001,1.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,1.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.782303370786516
l1,False,0.0001,1.0,True,10,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,1.0,True,10,,saga,10000,ovr,0,False,0.1,0.782303370786516
l1,False,0.0001,10.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,10.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.782303370786516
l1,False,0.0001,10.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,10.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.782303370786516
l1,False,0.0001,10.0,True,10,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,10.0,True,10,,saga,10000,ovr,0,False,0.1,0.782303370786516
elasticnet,False,0.0001,0.1,True,1.0,,saga,10000,ovr,0,False,0.1,0.7752808988764041
elasticnet,False,0.0001,0.1,True,0.1,,saga,10000,ovr,0,False,0.1,0.7752808988764041
elasticnet,False,0.0001,0.1,True,10,,saga,10000,ovr,0,False,0.1,0.7752808988764041
l1,False,1e-05,0.1,True,1.0,,saga,10000,ovr,0,False,0.1,0.7738764044943821
l1,False,1e-05,0.1,True,0.1,,saga,10000,ovr,0,False,0.1,0.7738764044943821
l1,False,1e-05,0.1,True,10,,saga,10000,ovr,0,False,0.1,0.7738764044943821
l1,False,0.0001,0.1,True,1.0,,saga,10000,ovr,0,False,0.1,0.7654494382022471
l1,False,0.0001,0.1,True,0.1,,saga,10000,ovr,0,False,0.1,0.7654494382022471
l1,False,0.0001,0.1,True,10,,saga,10000,ovr,0,False,0.1,0.7654494382022471
l1,False,0.001,1.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,1.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.7387640449438201
l1,False,0.001,1.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,1.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.7387640449438201
l1,False,0.001,1.0,True,10,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,1.0,True,10,,saga,10000,ovr,0,False,0.1,0.7387640449438201
l1,False,0.001,10.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,10.0,True,1.0,,saga,10000,ovr,0,False,0.1,0.7387640449438201
l1,False,0.001,10.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,10.0,True,0.1,,saga,10000,ovr,0,False,0.1,0.7387640449438201
l1,False,0.001,10.0,True,10,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,10.0,True,10,,saga,10000,ovr,0,False,0.1,0.7387640449438201
elasticnet,False,0.001,0.1,True,1.0,,saga,10000,ovr,0,False,0.1,0.737359550561797
elasticnet,False,0.001,0.1,True,0.1,,saga,10000,ovr,0,False,0.1,0.737359550561797
elasticnet,False,0.001,0.1,True,10,,saga,10000,ovr,0,False,0.1,0.737359550561797
l1,False,0.001,0.1,True,1.0,,saga,10000,ovr,0,False,0.1,0.724719101123595
l1,False,0.001,0.1,True,0.1,,saga,10000,ovr,0,False,0.1,0.724719101123595
l1,False,0.001,0.1,True,10,,saga,10000,ovr,0,False,0.1,0.724719101123595
