penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
"['l1', 'l2', 'elasticnet', 'none']",[False],[0.0001],[1.0],[True],[1.0],[None],['saga'],[100],['ovr'],[0],[False],[0.1],prediction
l1,False,0.0001,1.0,True,1.0,,saga,100,ovr,0,False,0.1,0.683988764044943
l2,False,0.0001,1.0,True,1.0,,saga,100,ovr,0,False,0.1,0.683988764044943
elasticnet,False,0.0001,1.0,True,1.0,,saga,100,ovr,0,False,0.1,0.683988764044943
none,False,0.0001,1.0,True,1.0,,saga,100,ovr,0,False,0.1,0.683988764044943
