penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
['l2'],[False],[0.01],[1.0],[True],[10.0],[None],"['newton-cg', 'lbfgs', 'sag', 'saga']",[100],['multinomial'],[0],[True],[0.1],prediction
l2,False,0.01,1.0,True,10.0,,newton-cg,100,multinomial,0,True,0.1,0.8005617977528091
l2,False,0.01,1.0,True,10.0,,lbfgs,100,multinomial,0,True,0.1,0.7921348314606741
l2,False,0.01,1.0,True,10.0,,sag,100,multinomial,0,True,0.1,0.7205056179775281
l2,False,0.01,1.0,True,10.0,,saga,100,multinomial,0,True,0.1,0.702247191011236
