penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
"['l1', 'elasticnet']",[False],"[1e-05, 1e-06, 1e-07]","[10.0, 20, 40]",[True],"[0.01, 100]",[None],['saga'],[10000],['ovr'],[0],[False],[0.1],prediction
elasticnet,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-06,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-07,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,10.0,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-06,10.0,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-07,10.0,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-05,20,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-06,20,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-07,20,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,20,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-06,20,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-07,20,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-05,20,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-06,20,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-07,20,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,20,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-06,20,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-07,20,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-05,40,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-06,40,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-07,40,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,40,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-06,40,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-07,40,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-05,40,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-06,40,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-07,40,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,40,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-06,40,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-07,40,True,100,,saga,10000,ovr,0,False,0.1,0.793539325842696
l1,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-06,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-07,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,10.0,True,100,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-06,10.0,True,100,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-07,10.0,True,100,,saga,10000,ovr,0,False,0.1,0.7921348314606741
