penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
"['l1', 'elasticnet']",[False],[1e-05],"[10.0, 11.0, 12.0, 13.0, 14.0]",[True],"[0.001, 0.01]",[None],['saga'],[10000],['ovr'],[0],[False],"[0.1, 1.0, 0.01]",prediction
elasticnet,False,1e-05,10.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,10.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,11.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,11.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,11.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,11.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,12.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,12.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,12.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,12.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,13.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,13.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,13.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,13.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,14.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,14.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.793539325842696
elasticnet,False,1e-05,14.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.793539325842696
elasticnet,False,1e-05,14.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.793539325842696
l1,False,1e-05,10.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,10.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,10.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,10.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,10.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,11.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,11.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,11.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,11.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,11.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,11.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,11.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,11.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,12.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,12.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,12.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,12.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,12.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,12.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,12.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,12.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,13.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,13.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,13.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,13.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,13.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,13.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,13.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,13.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,14.0,True,0.001,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,14.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,14.0,True,0.001,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,14.0,True,0.001,,saga,10000,ovr,0,False,0.01,0.7921348314606741
l1,False,1e-05,14.0,True,0.01,,saga,10000,ovr,0,False,0.1,0.7921348314606741
l1,False,1e-05,14.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
elasticnet,False,1e-05,14.0,True,0.01,,saga,10000,ovr,0,False,1.0,0.7921348314606741
l1,False,1e-05,14.0,True,0.01,,saga,10000,ovr,0,False,0.01,0.7921348314606741
