penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
['l2'],"[False, True]","[0.0001, 1e-05, 0.001]",[1.0],[True],[1.0],[None],['liblinear'],[100],['ovr'],[0],[False],[None],prediction
l2,False,0.0001,1.0,True,1.0,,liblinear,100,ovr,0,False,,0.803370786516853
l2,False,1e-05,1.0,True,1.0,,liblinear,100,ovr,0,False,,0.803370786516853
l2,False,0.001,1.0,True,1.0,,liblinear,100,ovr,0,False,,0.8019662921348311
l2,True,0.0001,1.0,True,1.0,,liblinear,100,ovr,0,False,,0.681179775280898
l2,True,1e-05,1.0,True,1.0,,liblinear,100,ovr,0,False,,0.681179775280898
l2,True,0.001,1.0,True,1.0,,liblinear,100,ovr,0,False,,0.681179775280898
