max_depth,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,presort,accuracy
[None],['best'],[2],[1],[0.0],[None],[None],[0.0],[False],prediction
,best,2,1,0.0,,,0.0,False,0.7598314606741571
