n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,accuracy
"[50, 100, 150]","[5, 10, 15]","[15, 20, 25]","[1, 5, 10, 0.1, 0.2, 0.5, 0.3]",[0.0],['auto'],[None],[0.0],[True],[False],[False],prediction
50,15,15,1,0.0,auto,,0.0,True,False,False,0.83005617977528
100,10,20,1,0.0,auto,,0.0,True,False,False,0.8216292134831461
50,15,25,1,0.0,auto,,0.0,True,False,False,0.8216292134831461
50,15,20,1,0.0,auto,,0.0,True,False,False,0.820224719101123
100,15,20,1,0.0,auto,,0.0,True,False,False,0.820224719101123
150,10,15,1,0.0,auto,,0.0,True,False,False,0.8188202247191011
100,15,15,1,0.0,auto,,0.0,True,False,False,0.8188202247191011
150,15,15,1,0.0,auto,,0.0,True,False,False,0.8188202247191011
50,10,15,1,0.0,auto,,0.0,True,False,False,0.817415730337078
150,10,20,1,0.0,auto,,0.0,True,False,False,0.817415730337078
50,10,15,5,0.0,auto,,0.0,True,False,False,0.817415730337078
150,5,15,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
100,10,15,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
150,10,15,5,0.0,auto,,0.0,True,False,False,0.8160112359550561
150,10,20,5,0.0,auto,,0.0,True,False,False,0.8160112359550561
150,15,25,1,0.0,auto,,0.0,True,False,False,0.8160112359550561
100,10,25,1,0.0,auto,,0.0,True,False,False,0.814606741573033
100,10,20,5,0.0,auto,,0.0,True,False,False,0.814606741573033
150,15,20,1,0.0,auto,,0.0,True,False,False,0.814606741573033
100,5,15,1,0.0,auto,,0.0,True,False,False,0.8132022471910111
50,10,20,1,0.0,auto,,0.0,True,False,False,0.8132022471910111
150,10,25,1,0.0,auto,,0.0,True,False,False,0.8132022471910111
100,15,25,1,0.0,auto,,0.0,True,False,False,0.8132022471910111
150,15,15,5,0.0,auto,,0.0,True,False,False,0.8132022471910111
50,5,20,1,0.0,auto,,0.0,True,False,False,0.811797752808988
