n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[1, 11, 13, 15]","[1, 11, 13, 15]","[2, 30, 40]",[1],"[0.0, 0.1, 0.5]",['auto'],[None],[0.0],[True],[False],prediction
15,13,2,1,0.0,auto,,0.0,True,False,0.8258426966292131
13,11,2,1,0.0,auto,,0.0,True,False,0.8216292134831461
15,13,40,1,0.0,auto,,0.0,True,False,0.820224719101123
15,15,40,1,0.0,auto,,0.0,True,False,0.820224719101123
15,11,40,1,0.0,auto,,0.0,True,False,0.8188202247191011
15,11,2,1,0.0,auto,,0.0,True,False,0.817415730337078
13,13,2,1,0.0,auto,,0.0,True,False,0.8160112359550561
15,13,30,1,0.0,auto,,0.0,True,False,0.8160112359550561
13,11,30,1,0.0,auto,,0.0,True,False,0.814606741573033
15,11,30,1,0.0,auto,,0.0,True,False,0.814606741573033
11,11,30,1,0.0,auto,,0.0,True,False,0.8132022471910111
13,13,30,1,0.0,auto,,0.0,True,False,0.8132022471910111
11,13,2,1,0.0,auto,,0.0,True,False,0.811797752808988
15,15,2,1,0.0,auto,,0.0,True,False,0.811797752808988
15,15,30,1,0.0,auto,,0.0,True,False,0.811797752808988
13,15,30,1,0.0,auto,,0.0,True,False,0.8103932584269661
13,13,40,1,0.0,auto,,0.0,True,False,0.808988764044943
13,15,40,1,0.0,auto,,0.0,True,False,0.808988764044943
11,11,2,1,0.0,auto,,0.0,True,False,0.8075842696629211
13,11,40,1,0.0,auto,,0.0,True,False,0.8075842696629211
11,13,30,1,0.0,auto,,0.0,True,False,0.806179775280898
11,15,30,1,0.0,auto,,0.0,True,False,0.806179775280898
11,11,40,1,0.0,auto,,0.0,True,False,0.8047752808988761
11,13,40,1,0.0,auto,,0.0,True,False,0.803370786516853
13,15,2,1,0.0,auto,,0.0,True,False,0.803370786516853
11,15,40,1,0.0,auto,,0.0,True,False,0.803370786516853
11,15,2,1,0.0,auto,,0.0,True,False,0.8005617977528091
11,11,2,1,0.1,auto,,0.0,True,False,0.7949438202247191
13,11,2,1,0.1,auto,,0.0,True,False,0.7949438202247191
11,11,30,1,0.1,auto,,0.0,True,False,0.7949438202247191
13,11,30,1,0.1,auto,,0.0,True,False,0.7949438202247191
11,11,40,1,0.1,auto,,0.0,True,False,0.7949438202247191
13,11,40,1,0.1,auto,,0.0,True,False,0.7949438202247191
11,13,2,1,0.1,auto,,0.0,True,False,0.7949438202247191
13,13,2,1,0.1,auto,,0.0,True,False,0.7949438202247191
11,13,30,1,0.1,auto,,0.0,True,False,0.7949438202247191
