n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[10, 50, 100]","[10, 50, 100]","[20, 100, 200]","[1, 5, 10]",[0.0],['auto'],[None],[0.0],[True],[False],prediction
10,10,20,1,0.0,auto,,0.0,True,False,0.8455056179775281
50,10,20,1,0.0,auto,,0.0,True,False,0.8370786516853931
50,50,20,1,0.0,auto,,0.0,True,False,0.8370786516853931
50,100,20,1,0.0,auto,,0.0,True,False,0.8370786516853931
100,50,20,1,0.0,auto,,0.0,True,False,0.83005617977528
100,100,20,1,0.0,auto,,0.0,True,False,0.83005617977528
100,10,20,1,0.0,auto,,0.0,True,False,0.8272471910112361
100,50,20,5,0.0,auto,,0.0,True,False,0.8272471910112361
100,100,20,5,0.0,auto,,0.0,True,False,0.8272471910112361
50,10,20,5,0.0,auto,,0.0,True,False,0.823033707865168
100,10,20,5,0.0,auto,,0.0,True,False,0.823033707865168
10,50,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
50,50,20,5,0.0,auto,,0.0,True,False,0.8216292134831461
10,100,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
50,100,20,5,0.0,auto,,0.0,True,False,0.8216292134831461
10,50,20,5,0.0,auto,,0.0,True,False,0.820224719101123
10,100,20,5,0.0,auto,,0.0,True,False,0.820224719101123
10,50,20,10,0.0,auto,,0.0,True,False,0.814606741573033
10,100,20,10,0.0,auto,,0.0,True,False,0.814606741573033
10,10,20,5,0.0,auto,,0.0,True,False,0.8132022471910111
100,50,20,10,0.0,auto,,0.0,True,False,0.8103932584269661
100,100,20,10,0.0,auto,,0.0,True,False,0.8103932584269661
10,10,20,10,0.0,auto,,0.0,True,False,0.8075842696629211
50,10,20,10,0.0,auto,,0.0,True,False,0.8075842696629211
100,10,20,10,0.0,auto,,0.0,True,False,0.806179775280898
50,50,20,10,0.0,auto,,0.0,True,False,0.806179775280898
50,100,20,10,0.0,auto,,0.0,True,False,0.806179775280898
50,10,100,1,0.0,auto,,0.0,True,False,0.7921348314606741
50,50,100,1,0.0,auto,,0.0,True,False,0.7921348314606741
50,100,100,1,0.0,auto,,0.0,True,False,0.7921348314606741
100,10,100,1,0.0,auto,,0.0,True,False,0.7893258426966291
10,10,100,5,0.0,auto,,0.0,True,False,0.7893258426966291
100,10,100,5,0.0,auto,,0.0,True,False,0.7893258426966291
100,50,100,1,0.0,auto,,0.0,True,False,0.7893258426966291
10,50,100,5,0.0,auto,,0.0,True,False,0.7893258426966291
100,50,100,5,0.0,auto,,0.0,True,False,0.7893258426966291
100,100,100,1,0.0,auto,,0.0,True,False,0.7893258426966291
10,100,100,5,0.0,auto,,0.0,True,False,0.7893258426966291
100,100,100,5,0.0,auto,,0.0,True,False,0.7893258426966291
50,10,100,5,0.0,auto,,0.0,True,False,0.787921348314606
50,50,100,5,0.0,auto,,0.0,True,False,0.787921348314606
50,100,100,5,0.0,auto,,0.0,True,False,0.787921348314606
10,10,100,10,0.0,auto,,0.0,True,False,0.7865168539325841
100,10,100,10,0.0,auto,,0.0,True,False,0.7865168539325841
10,50,100,10,0.0,auto,,0.0,True,False,0.7865168539325841
100,50,100,10,0.0,auto,,0.0,True,False,0.7865168539325841
10,100,100,10,0.0,auto,,0.0,True,False,0.7865168539325841
100,100,100,10,0.0,auto,,0.0,True,False,0.7865168539325841
10,10,100,1,0.0,auto,,0.0,True,False,0.785112359550561
10,50,100,1,0.0,auto,,0.0,True,False,0.785112359550561
10,100,100,1,0.0,auto,,0.0,True,False,0.785112359550561
10,10,200,1,0.0,auto,,0.0,True,False,0.782303370786516
10,10,200,5,0.0,auto,,0.0,True,False,0.782303370786516
50,10,100,10,0.0,auto,,0.0,True,False,0.782303370786516
10,10,200,10,0.0,auto,,0.0,True,False,0.782303370786516
10,50,200,1,0.0,auto,,0.0,True,False,0.782303370786516
10,50,200,5,0.0,auto,,0.0,True,False,0.782303370786516
50,50,100,10,0.0,auto,,0.0,True,False,0.782303370786516
10,50,200,10,0.0,auto,,0.0,True,False,0.782303370786516
10,100,200,1,0.0,auto,,0.0,True,False,0.782303370786516
10,100,200,5,0.0,auto,,0.0,True,False,0.782303370786516
50,100,100,10,0.0,auto,,0.0,True,False,0.782303370786516
10,100,200,10,0.0,auto,,0.0,True,False,0.782303370786516
100,10,200,1,0.0,auto,,0.0,True,False,0.7766853932584271
100,10,200,5,0.0,auto,,0.0,True,False,0.7766853932584271
100,10,200,10,0.0,auto,,0.0,True,False,0.7766853932584271
100,50,200,1,0.0,auto,,0.0,True,False,0.7766853932584271
100,50,200,5,0.0,auto,,0.0,True,False,0.7766853932584271
100,50,200,10,0.0,auto,,0.0,True,False,0.7766853932584271
100,100,200,1,0.0,auto,,0.0,True,False,0.7766853932584271
100,100,200,5,0.0,auto,,0.0,True,False,0.7766853932584271
100,100,200,10,0.0,auto,,0.0,True,False,0.7766853932584271
50,10,200,1,0.0,auto,,0.0,True,False,0.7752808988764041
50,10,200,5,0.0,auto,,0.0,True,False,0.7752808988764041
50,50,200,1,0.0,auto,,0.0,True,False,0.7752808988764041
50,50,200,5,0.0,auto,,0.0,True,False,0.7752808988764041
50,100,200,1,0.0,auto,,0.0,True,False,0.7752808988764041
50,100,200,5,0.0,auto,,0.0,True,False,0.7752808988764041
50,10,200,10,0.0,auto,,0.0,True,False,0.7738764044943821
50,50,200,10,0.0,auto,,0.0,True,False,0.7738764044943821
50,100,200,10,0.0,auto,,0.0,True,False,0.7738764044943821
