n_estimators,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,accuracy
"[1, 10, 100]","[None, 1, 10, 100]","[2, 20, 200]","[1, 10, 100]",[0.0],['auto'],[None],[0.0],[True],[False],prediction
10,10,20,1,0.0,auto,,0.0,True,False,0.8455056179775281
100,,20,1,0.0,auto,,0.0,True,False,0.83005617977528
100,100,20,1,0.0,auto,,0.0,True,False,0.83005617977528
100,10,2,1,0.0,auto,,0.0,True,False,0.8272471910112361
100,10,20,1,0.0,auto,,0.0,True,False,0.8272471910112361
10,10,2,1,0.0,auto,,0.0,True,False,0.8244382022471911
10,,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
10,100,20,1,0.0,auto,,0.0,True,False,0.8216292134831461
10,,2,10,0.0,auto,,0.0,True,False,0.814606741573033
10,,20,10,0.0,auto,,0.0,True,False,0.814606741573033
10,100,2,10,0.0,auto,,0.0,True,False,0.814606741573033
10,100,20,10,0.0,auto,,0.0,True,False,0.814606741573033
100,,2,10,0.0,auto,,0.0,True,False,0.8103932584269661
100,,20,10,0.0,auto,,0.0,True,False,0.8103932584269661
100,100,2,10,0.0,auto,,0.0,True,False,0.8103932584269661
100,100,20,10,0.0,auto,,0.0,True,False,0.8103932584269661
100,,2,1,0.0,auto,,0.0,True,False,0.8075842696629211
10,10,2,10,0.0,auto,,0.0,True,False,0.8075842696629211
10,10,20,10,0.0,auto,,0.0,True,False,0.8075842696629211
100,100,2,1,0.0,auto,,0.0,True,False,0.8075842696629211
100,10,2,10,0.0,auto,,0.0,True,False,0.806179775280898
100,10,20,10,0.0,auto,,0.0,True,False,0.806179775280898
1,,2,10,0.0,auto,,0.0,True,False,0.803370786516853
1,,20,10,0.0,auto,,0.0,True,False,0.803370786516853
1,10,2,10,0.0,auto,,0.0,True,False,0.803370786516853
1,10,20,10,0.0,auto,,0.0,True,False,0.803370786516853
1,100,2,10,0.0,auto,,0.0,True,False,0.803370786516853
1,100,20,10,0.0,auto,,0.0,True,False,0.803370786516853
10,,2,100,0.0,auto,,0.0,True,False,0.787921348314606
10,,20,100,0.0,auto,,0.0,True,False,0.787921348314606
10,,200,100,0.0,auto,,0.0,True,False,0.787921348314606
10,1,2,100,0.0,auto,,0.0,True,False,0.787921348314606
10,1,20,100,0.0,auto,,0.0,True,False,0.787921348314606
10,1,200,100,0.0,auto,,0.0,True,False,0.787921348314606
10,10,2,100,0.0,auto,,0.0,True,False,0.787921348314606
